Pantai Teritip,"Teritip, Aceh Barat Daya",Wisata Bahari,Blang Pidie,Aceh Barat Daya,Aceh,"Pantai dengan air laut yang jernih dan pasir putih yang luas, cocok untuk berlibur.","Pantai, Teritip, Blang Pidie, Aceh Barat Daya",0
Pantai Geulumpang,"Geulumpang, Aceh Barat",Wisata Bahari,Meulaboh,Aceh Barat,Aceh,Pantai yang menawarkan ketenangan dan pemandangan laut yang memukau.,"Pantai, Geulumpang, Meulaboh, Aceh Barat",0
Pantai Ria,"Ria, Aceh Selatan",Wisata Bahari,Tapaktuan,Aceh Selatan,Aceh,Pantai dengan suasana yang asri dan cocok untuk kegiatan santai atau piknik.,"Pantai, Ria, Tapaktuan, Aceh Selatan",0
Pantai Pulau Teulaga,"Teulaga, Aceh Jaya",Wisata Bahari,Calang,Aceh Jaya,Aceh,"Pantai dengan pasir putih dan air laut yang jernih, cocok untuk aktivitas snorkeling.","Pantai, Pulau Teulaga, Aceh Jaya",0
Pulau Gili,"Gili, Sabang",Wisata Bahari,Sabang,Sabang,Aceh,"Pulau dengan panorama alam bawah laut yang mempesona, cocok untuk menyelam dan snorkeling.","Pulau, Gili, Sabang, Wisata Bahari, Snorkeling",0
name,address,category,city,regency,province,description,keywords,price
Masjid Raya Baiturrahman,"Baiturrahman, Banda Aceh",Wisata Religi,Banda Aceh,Banda Aceh,Aceh,Masjid kebanggaan masyarakat Aceh yang menjadi simbol kebesaran Islam di Aceh.,"Masjid, Baiturrahman, Banda Aceh, Religi",0
Monumen Tsunami,"Kota Banda Aceh, Aceh",Wisata Sejarah,Banda Aceh,Banda Aceh,Aceh,Monumen yang dibangun untuk mengenang tragedi tsunami Aceh 2004 dengan desain unik.,"Monumen, Tsunami, Banda Aceh, Sejarah",0
Museum Aceh,"Jalan Sultan Iskandar Muda, Banda Aceh",Wisata Sejarah,Banda Aceh,Banda Aceh,Aceh,"Museum yang menyimpan berbagai koleksi sejarah, budaya, dan benda bersejarah dari Aceh.","Museum, Aceh, Banda Aceh, Sejarah",0
Kerkhoff Monument,"Jalan Kerkhoff, Banda Aceh",Wisata Sejarah,Banda Aceh,Banda Aceh,Aceh,Monumen yang dibangun untuk mengenang pasukan Belanda yang gugur di Aceh pada masa kolonial.,"Monumen, Kerkhoff, Banda Aceh, Sejarah",0
Taman Sari,"Taman Sari, Banda Aceh",Wisata Sejarah,Banda Aceh,Banda Aceh,Aceh,Taman bersejarah yang dulunya merupakan tempat beristirahat Sultan Aceh.,"Taman, Sari, Banda Aceh, Sejarah",0
Makam Sultan Iskandar Muda,Kota Banda Aceh,Wisata Religi,Banda Aceh,Banda Aceh,Aceh,"Makam Sultan Iskandar Muda, pemimpin besar kerajaan Aceh Darussalam.","Makam, Sultan Iskandar Muda, Banda Aceh, Religi",0
Masjid Lhokseumawe,"Lhokseumawe, Aceh Utara",Wisata Religi,Lhokseumawe,Aceh Utara,Aceh,Masjid besar yang menjadi tempat ibadah bagi masyarakat Lhokseumawe.,"Masjid, Lhokseumawe, Aceh Utara, Religi",0
Makam Syiah Kuala,"Syiah Kuala, Banda Aceh",Wisata Religi,Banda Aceh,Banda Aceh,Aceh,"Makam ulama besar Aceh yang sangat dihormati, Syiah Kuala.","Makam, Syiah Kuala, Banda Aceh, Religi",0
Banda Aceh Historical Museum,"Banda Aceh, Aceh",Wisata Sejarah,Banda Aceh,Banda Aceh,Aceh,Museum yang menyimpan koleksi artefak sejarah Aceh dan perkembangan kota Banda Aceh.,"Museum, Banda Aceh, Sejarah",0
Masjid Baitulrahim,"Baitulrahim, Aceh Timur",Wisata Religi,Idi,Aceh Timur,Aceh,Masjid bersejarah yang menjadi tempat ibadah penting bagi umat Muslim di Aceh Timur.,"Masjid, Baitulrahim, Aceh Timur, Religi",0
Kota Pahlawan,"Banda Aceh, Aceh",Wisata Sejarah,Banda Aceh,Banda Aceh,Aceh,Kota yang menjadi saksi bisu perjuangan rakyat Aceh dalam melawan penjajahan Belanda.,"Kota, Pahlawan, Banda Aceh, Sejarah",0
Pusat Perdagangan Aceh,Kota Banda Aceh,Wisata Sejarah,Banda Aceh,Banda Aceh,Aceh,Daerah yang menjadi pusat perdagangan pada masa kejayaan Kerajaan Aceh Darussalam.,"Pusat Perdagangan, Banda Aceh, Sejarah",0
Makam Cut Nyak Dien,"Aceh Barat, Aceh",Wisata Religi,Meulaboh,Aceh Barat,Aceh,Makam Pahlawan Aceh Cut Nyak Dien yang dikenal sebagai pahlawan wanita Aceh.,"Makam, Cut Nyak Dien, Meulaboh, Religi",0
Makam Teuku Umar,"Aceh Barat, Aceh",Wisata Religi,Meulaboh,Aceh Barat,Aceh,"Makam Teuku Umar, pahlawan nasional yang berperang melawan penjajah Belanda.","Makam, Teuku Umar, Meulaboh, Religi",0
Masjid Al-Munawwarah,"Aceh Selatan, Aceh",Wisata Religi,Tapaktuan,Aceh Selatan,Aceh,Masjid yang menjadi pusat kegiatan keagamaan bagi umat Muslim di Aceh Selatan.,"Masjid, Al-Munawwarah, Tapaktuan, Religi",0
Benteng Indra Patra,"Meulaboh, Aceh Barat",Wisata Sejarah,Meulaboh,Aceh Barat,Aceh,Benteng bersejarah yang merupakan peninggalan masa kolonial Belanda di Aceh.,"Benteng, Indra Patra, Meulaboh, Sejarah",0
Masjid Agung Baitul Muttaqin,"Baitul Muttaqin, Aceh Tamiang",Wisata Religi,Kuala Simpang,Aceh Tamiang,Aceh,"Masjid yang berdiri megah di Aceh Tamiang, tempat ibadah penting bagi umat Muslim.","Masjid, Baitul Muttaqin, Kuala Simpang, Religi",0
Istana Iskandar Muda,"Banda Aceh, Aceh",Wisata Sejarah,Banda Aceh,Banda Aceh,Aceh,"Istana yang pernah menjadi kediaman Sultan Iskandar Muda, Sultan Aceh yang terkenal.","Istana, Iskandar Muda, Banda Aceh, Sejarah",0
Masjid Tua Kuta Krueng,"Kuta Krueng, Aceh Besar",Wisata Religi,Banda Aceh,Aceh Besar,Aceh,"Masjid tua yang menjadi bagian dari sejarah Islam di Aceh, dikenal dengan arsitektur tradisional.","Masjid, Tua, Kuta Krueng, Banda Aceh, Religi",0
Tugu Pahlawan Aceh,"Banda Aceh, Aceh",Wisata Sejarah,Banda Aceh,Banda Aceh,Aceh,Tugu peringatan untuk mengenang jasa-jasa pahlawan Aceh dalam perjuangan kemerdekaan Indonesia.,"Tugu, Pahlawan, Banda Aceh, Sejarah",0
Masjid Baitul Musyahadah,"Baitul Musyahadah, Aceh Timur",Wisata Religi,Idi,Aceh Timur,Aceh,Masjid yang terkenal dengan arsitektur yang indah dan berada di Aceh Timur.,"Masjid, Baitul Musyahadah, Aceh Timur, Religi",0
Kawasan Sejarah Lambaro,"Lambaro, Aceh Besar",Wisata Sejarah,Banda Aceh,Aceh Besar,Aceh,Kawasan yang menjadi saksi bisu sejarah perjuangan rakyat Aceh melawan penjajahan Belanda.,"Kawasan Sejarah, Lambaro, Aceh Besar",0
Makam Sultan Malikussaleh,"Samudra, Aceh Utara",Wisata Religi,Lhokseumawe,Aceh Utara,Aceh,"Makam Sultan Malikussaleh, salah satu sultan yang berjasa dalam penyebaran Islam di Aceh.","Makam, Sultan Malikussaleh, Lhokseumawe, Religi",0
Monumen Perjuangan Aceh,"Aceh, Indonesia",Wisata Sejarah,Banda Aceh,Banda Aceh,Aceh,Monumen yang dibangun untuk mengenang perjuangan masyarakat Aceh dalam melawan penjajah.,"Monumen, Perjuangan, Banda Aceh, Sejarah",0
Masjid Al-Furqan,"Aceh Singkil, Aceh",Wisata Religi,Singkil,Aceh Singkil,Aceh,Masjid bersejarah yang menjadi pusat kegiatan ibadah di Aceh Singkil.,"Masjid, Al-Furqan, Singkil, Religi",0
Makam Tengku Chik Di Tiro,"Tengku Chik, Aceh",Wisata Religi,Pidi,Aceh,Aceh,"Makam Tengku Chik Di Tiro, tokoh yang berperan dalam perlawanan terhadap Belanda.","Makam, Tengku Chik Di Tiro, Pidi, Religi",0
Benteng Kutaraja,"Kutaraja, Aceh",Wisata Sejarah,Banda Aceh,Banda Aceh,Aceh,Benteng yang dibangun pada masa pemerintahan Belanda dan menjadi bagian sejarah Aceh.,"Benteng, Kutaraja, Banda Aceh, Sejarah",0
Peninggalan Kerajaan Aceh,"Aceh, Indonesia",Wisata Sejarah,Banda Aceh,Banda Aceh,Aceh,Peninggalan-peninggalan sejarah yang berkaitan dengan kejayaan Kerajaan Aceh Darussalam.,"Peninggalan, Kerajaan, Aceh, Sejarah",0
Masjid Al-Fath,"Pulo Aceh, Aceh Besar",Wisata Religi,Banda Aceh,Aceh Besar,Aceh,"Masjid yang berdiri megah di Pulo Aceh, salah satu masjid yang bersejarah di Aceh.","Masjid, Al-Fath, Pulo Aceh, Religi",0
Taman Mini Aceh,"Jalan Taman Mini, Banda Aceh",Edukasi,Banda Aceh,Banda Aceh,Aceh,"Taman mini yang menyediakan berbagai informasi tentang kebudayaan, flora, dan fauna Aceh.","Taman Mini, Edukasi, Banda Aceh, Kebudayaan",0
Pusat Studi Lingkungan Hidup,"Jalan Geusan Ulama, Banda Aceh",Edukasi,Banda Aceh,Banda Aceh,Aceh,Tempat yang memfokuskan pada edukasi tentang lingkungan hidup dan pengelolaannya.,"Lingkungan Hidup, Edukasi, Banda Aceh",0
Perpustakaan Aceh,"Jalan T. Iskandar Muda, Banda Aceh",Edukasi,Banda Aceh,Banda Aceh,Aceh,Perpustakaan yang menyediakan berbagai koleksi buku dan media pembelajaran untuk masyarakat Aceh.,"Perpustakaan, Edukasi, Banda Aceh",0
Aceh Science Center,Banda Aceh,Edukasi,Banda Aceh,Banda Aceh,Aceh,Pusat ilmiah yang berfokus pada pengembangan ilmu pengetahuan dan teknologi di Aceh.,"Science, Edukasi, Banda Aceh",0
Kampung Naga,Aceh Besar,Edukasi,Banda Aceh,Aceh Besar,Aceh,Sebuah desa yang menjadi tempat edukasi budaya dan sejarah masyarakat Aceh.,"Kampung Naga, Edukasi, Aceh Besar",0
Taman Nasional Gunung Leuser,"Aceh, Indonesia",Edukasi,Aceh,Aceh,Aceh,Taman nasional yang menawarkan edukasi tentang ekosistem hutan hujan tropis dan satwa liar seperti orangutan.,"Taman Nasional, Gunung Leuser, Edukasi, Alam",0
Kebun Raya Cibodas Aceh,Aceh,Edukasi,Banda Aceh,Banda Aceh,Aceh,Kebun raya yang menyediakan berbagai jenis flora lokal dan edukasi tentang keanekaragaman hayati.,"Kebun Raya, Edukasi, Aceh",0
Pusat Pendidikan Alam,Aceh,Edukasi,Banda Aceh,Banda Aceh,Aceh,Pusat yang menyediakan berbagai program pendidikan tentang alam dan lingkungan hidup.,"Pendidikan Alam, Edukasi, Banda Aceh",0
Kawasan Pendidikan Sejarah Aceh,Banda Aceh,Edukasi,Banda Aceh,Banda Aceh,Aceh,Kawasan yang menawarkan edukasi sejarah tentang perjuangan Aceh melawan penjajahan Belanda.,"Sejarah, Pendidikan, Banda Aceh",0
Taman Bumi Aceh,Aceh,Edukasi,Banda Aceh,Banda Aceh,Aceh,Taman yang menyediakan edukasi tentang geografi dan kebudayaan Aceh serta potensi alam Aceh.,"Taman Bumi, Edukasi, Aceh",0
Aceh History Park,Banda Aceh,Edukasi,Banda Aceh,Banda Aceh,Aceh,Taman sejarah yang memberikan informasi mengenai perjalanan sejarah Aceh dari masa ke masa.,"Taman Sejarah, Edukasi, Banda Aceh",0
Perpustakaan Umum Aceh,Banda Aceh,Edukasi,Banda Aceh,Banda Aceh,Aceh,Perpustakaan umum yang menyediakan berbagai sumber daya untuk belajar dan penelitian.,"Perpustakaan, Edukasi, Banda Aceh",0
Lembaga Pendidikan Aceh,Aceh,Edukasi,Banda Aceh,Aceh,Aceh,Lembaga pendidikan yang menyediakan pelatihan dan pendidikan untuk masyarakat Aceh.,"Pendidikan, Lembaga, Aceh",0
Pusat Pendidikan Maritim Aceh,Aceh,Edukasi,Banda Aceh,Banda Aceh,Aceh,"Pusat pendidikan yang berfokus pada edukasi tentang kelautan, perikanan, dan maritim di Aceh.","Pendidikan Maritim, Edukasi, Aceh",0
Taman Gubernur Aceh,Banda Aceh,Edukasi,Banda Aceh,Banda Aceh,Aceh,Taman yang menawarkan berbagai informasi tentang sejarah pemerintahan Aceh dan budaya lokal.,"Taman, Edukasi, Banda Aceh",0
Aceh Educational Park,Banda Aceh,Edukasi,Banda Aceh,Banda Aceh,Aceh,Taman edukasi yang menyediakan fasilitas belajar bagi anak-anak dan orang dewasa tentang alam dan teknologi.,"Taman Edukasi, Banda Aceh, Edukasi",0
Lembaga Penelitian Aceh,Aceh,Edukasi,Banda Aceh,Aceh,Aceh,"Lembaga yang berfokus pada penelitian sejarah, budaya, dan pendidikan di Aceh.","Penelitian, Edukasi, Aceh",0
Situs Peninggalan Kerajaan Aceh,Aceh,Edukasi,Banda Aceh,Banda Aceh,Aceh,Situs sejarah yang mengajarkan masyarakat tentang kejayaan kerajaan Aceh dan kebudayaan masa lalu.,"Situs Sejarah, Edukasi, Aceh",0
Pusat Pembelajaran Aceh,Aceh,Edukasi,Banda Aceh,Banda Aceh,Aceh,"Pusat yang menyediakan berbagai pelajaran tentang seni, budaya, dan sejarah Aceh.","Pembelajaran, Aceh, Edukasi",0
Kampus Universitas Syiah Kuala,"Jalan Teuku Nyak Arief, Banda Aceh",Edukasi,Banda Aceh,Banda Aceh,Aceh,"Kampus yang merupakan pusat pendidikan tinggi di Aceh, menyediakan program pendidikan untuk mahasiswa.","Universitas, Pendidikan, Banda Aceh",0
Taman Berburu Aceh,Aceh,Edukasi,Banda Aceh,Banda Aceh,Aceh,Taman yang menawarkan pengalaman edukatif tentang flora dan fauna Aceh.,"Taman Berburu, Aceh, Edukasi",0
Aceh Geopark,Aceh,Edukasi,Banda Aceh,Banda Aceh,Aceh,Geopark yang mengajarkan masyarakat tentang geologi dan sejarah alam Aceh.,"Geopark, Edukasi, Aceh",0
Lembaga Studi Aceh,Aceh,Edukasi,Banda Aceh,Aceh,Aceh,"Lembaga yang fokus pada studi dan riset budaya, sejarah, dan bahasa Aceh.","Studi Aceh, Edukasi, Aceh",0
Pusat Edukasi Lingkungan Aceh,Banda Aceh,Edukasi,Banda Aceh,Banda Aceh,Aceh,Pusat yang menawarkan program edukasi mengenai pelestarian lingkungan hidup di Aceh.,"Pusat Edukasi, Lingkungan, Banda Aceh",0
Sekolah Alam Aceh,Banda Aceh,Edukasi,Banda Aceh,Banda Aceh,Aceh,"Sekolah yang mengajarkan anak-anak dengan metode berbasis alam, mengedepankan pendidikan lingkungan.","Sekolah Alam, Edukasi, Banda Aceh",0
Pusat Pelatihan Aceh,Aceh,Edukasi,Banda Aceh,Banda Aceh,Aceh,Pusat pelatihan yang memberikan berbagai kursus untuk meningkatkan keterampilan di berbagai bidang.,"Pelatihan, Edukasi, Aceh",0
Taman Pendidikan Aceh,Banda Aceh,Edukasi,Banda Aceh,Banda Aceh,Aceh,Taman yang menawarkan program-program pendidikan yang menyenangkan bagi anak-anak dan keluarga.,"Taman Pendidikan, Edukasi, Banda Aceh",0
Pusat Belajar Seni Aceh,Banda Aceh,Edukasi,Banda Aceh,Banda Aceh,Aceh,"Pusat yang menyediakan pelajaran seni dan kerajinan khas Aceh, seperti tari dan musik tradisional.","Seni, Pendidikan, Banda Aceh",0
Tugu Kilometer Nol,"Jalan Iskandar Muda, Banda Aceh",Budaya,Banda Aceh,Banda Aceh,Aceh,Tugu yang menandai titik kilometer nol Indonesia dan menjadi ikon kebanggaan masyarakat Aceh.,"Tugu, Kilometer Nol, Aceh, Budaya, Banda Aceh",0
Kampung Aceh,Aceh Besar,Budaya,Banda Aceh,Aceh Besar,Aceh,Kampung tradisional yang menggambarkan kehidupan budaya Aceh dalam keseharian masyarakatnya.,"Kampung, Budaya, Aceh Besar",0
Rumoh Aceh,Banda Aceh,Budaya,Banda Aceh,Banda Aceh,Aceh,Rumah tradisional Aceh yang memiliki arsitektur khas dan menjadi bagian dari warisan budaya Aceh.,"Rumoh Aceh, Budaya, Arsitektur, Banda Aceh",0
Taman Sultana Ratu,Aceh Besar,Budaya,Banda Aceh,Aceh Besar,Aceh,"Taman yang dulunya adalah tempat peristirahatan sultan Aceh, kini menjadi situs bersejarah yang kaya dengan budaya.","Taman, Ratu, Budaya, Aceh Besar",0
Pusat Budaya Aceh,Banda Aceh,Budaya,Banda Aceh,Banda Aceh,Aceh,"Pusat yang mempromosikan kebudayaan Aceh, termasuk musik tradisional, tarian, dan kerajinan tangan.","Pusat Budaya, Aceh, Musik, Tari, Banda Aceh",0
Tari Saman,Aceh,Budaya,Banda Aceh,Banda Aceh,Aceh,"Salah satu tari tradisional Aceh yang terkenal dengan kecepatan dan keharmonisan gerakannya, sering dipertunjukkan dalam acara budaya.","Tari Saman, Budaya, Aceh, Tarian",0
Pusat Seni Aceh,Banda Aceh,Budaya,Banda Aceh,Banda Aceh,Aceh,"Tempat yang memperkenalkan seni tradisional Aceh, seperti pembuatan kerajinan tangan, tari, dan seni rupa.","Seni, Aceh, Budaya, Banda Aceh",0
Pasar Aceh,Banda Aceh,Budaya,Banda Aceh,Banda Aceh,Aceh,"Pasar tradisional yang menjual berbagai barang dan produk khas Aceh, memperlihatkan kehidupan budaya masyarakat Aceh.","Pasar, Aceh, Budaya, Banda Aceh",0
Taman Budaya Aceh,Banda Aceh,Budaya,Banda Aceh,Banda Aceh,Aceh,Taman yang digunakan untuk kegiatan seni dan budaya seperti pertunjukan musik dan tari tradisional Aceh.,"Taman Budaya, Aceh, Seni, Pertunjukan, Banda Aceh",0
Peninggalan Islam Aceh,Aceh,Budaya,Banda Aceh,Banda Aceh,Aceh,Situs bersejarah yang mengajarkan tentang perkembangan Islam di Aceh dan warisan budaya Islam di daerah ini.,"Islam, Aceh, Budaya, Sejarah, Banda Aceh",0
Museum Tsunami Aceh,"Jalan Iskandar Muda, Banda Aceh",Budaya,Banda Aceh,Banda Aceh,Aceh,"Museum yang didirikan untuk mengenang bencana tsunami 2004 yang menghancurkan Aceh, dengan menampilkan sejarah dan cerita masyarakat Aceh.","Museum, Tsunami, Aceh, Sejarah, Banda Aceh",0
Masjid Al-Makmur,"Jalan Al-Makmur, Aceh",Budaya,Banda Aceh,Banda Aceh,Aceh,Masjid bersejarah di Aceh yang memiliki keindahan arsitektur serta makna historis yang dalam bagi masyarakat Aceh.,"Masjid, Al-Makmur, Aceh, Sejarah, Budaya",0
Baitul Mukarram,Aceh,Budaya,Banda Aceh,Aceh,Aceh,Sebuah masjid yang memiliki peran penting dalam kegiatan keagamaan dan sosial masyarakat Aceh.,"Masjid, Baitul Mukarram, Aceh, Budaya",0
Rumah Aceh,Banda Aceh,Budaya,Banda Aceh,Banda Aceh,Aceh,Rumah adat Aceh yang menjadi simbol budaya dan identitas masyarakat Aceh dengan arsitektur khas.,"Rumah Aceh, Budaya, Arsitektur, Banda Aceh",0
Festival Aceh,Banda Aceh,Budaya,Banda Aceh,Banda Aceh,Aceh,"Festival tahunan yang menampilkan berbagai seni budaya Aceh, mulai dari tari, musik, hingga kuliner khas Aceh.","Festival, Aceh, Budaya, Seni, Banda Aceh",0
Tari Ratoh Duek,Aceh,Budaya,Banda Aceh,Banda Aceh,Aceh,Tari tradisional Aceh yang melibatkan gerakan yang sangat ritmis dan digunakan dalam upacara adat dan perayaan budaya.,"Tari Ratoh Duek, Budaya, Aceh",0
Situs Aceh,Banda Aceh,Budaya,Banda Aceh,Banda Aceh,Aceh,"Situs sejarah yang menunjukkan warisan kebudayaan Aceh, baik dalam bidang arsitektur maupun dalam tradisi sosial masyarakatnya.","Situs, Aceh, Sejarah, Budaya, Banda Aceh",0
Makam Cut Nyak Dhien,Aceh,Budaya,Banda Aceh,Aceh,Aceh,"Makam pahlawan wanita Aceh, Cut Nyak Dhien, yang memiliki nilai sejarah tinggi dalam perjuangan Aceh melawan penjajahan.","Makam, Cut Nyak Dhien, Aceh, Sejarah, Budaya",0
Rumah Tuan Tapa,Aceh,Budaya,Banda Aceh,Aceh,Aceh,Rumah tradisional yang memiliki nilai historis dalam perjalanan sejarah Aceh dan mencerminkan kebudayaan asli masyarakat Aceh.,"Rumah, Tuan Tapa, Aceh, Budaya",0
Puncak Gunung Seulawah,Aceh Besar,Budaya,Banda Aceh,Aceh Besar,Aceh,Puncak gunung yang terkenal dalam sejarah Aceh dan menjadi tempat penting dalam budaya serta wisata sejarah.,"Gunung Seulawah, Budaya, Aceh",0
Situs Baitulrahman,Banda Aceh,Budaya,Banda Aceh,Banda Aceh,Aceh,Situs yang bersejarah dan merupakan bagian dari pengembangan budaya Aceh serta penting dalam kehidupan sosial masyarakat.,"Situs, Baitulrahman, Aceh, Sejarah, Budaya",0
Air Terjun Blang Kolam,Aceh Tenggara,Alam,Aceh Tenggara,Aceh,Aceh,"Air terjun yang memukau di tengah hutan tropis Aceh, cocok untuk trekking dan menikmati keindahan alam.","Air Terjun, Blang Kolam, Alam, Aceh Tenggara",0
Gunung Gapi,Aceh Selatan,Alam,Tapak Tuan,Aceh Selatan,Aceh,"Gunung dengan pemandangan indah dan trek pendakian yang menantang, cocok untuk para pendaki.","Gunung Gapi, Pendakian, Alam, Aceh Selatan",0
